,acousticness,danceability,energy,instrumentalness,popularity,speechiness
282,0.0369,0.7879999999999999,0.465,0.000384,1,0.139
283,0.985,0.314,0.281,6.37e-05,0,0.0648
284,0.994,0.248,0.0876,0.907,0,0.0566
285,0.993,0.3929999999999999,0.156,4.85e-06,0,0.0458
286,0.991,0.305,0.273,0.0746,0,0.0386
287,0.989,0.384,0.171,0.82,0,0.0319
288,0.588,0.341,0.256,0.157,0,0.0461
289,0.987,0.544,0.259,0.0532,0,0.0437
290,0.978,0.502,0.4029999999999999,0.0,0,0.466
291,0.992,0.4639999999999999,0.154,0.9,0,0.192
292,0.967,0.275,0.309,2.77e-05,3,0.0354
293,0.995,0.496,0.124,0.0986,0,0.0505
294,0.8959999999999999,0.16,0.0521,0.846,0,0.0398
295,0.317,0.8809999999999999,0.4970000000000001,0.0,0,0.412
296,0.983,0.366,0.231,0.905,0,0.283
297,0.992,0.38,0.1169999999999999,1.14e-06,0,0.0415
298,0.672,0.4029999999999999,0.385,0.000339,0,0.0315
299,0.959,0.8290000000000001,0.3329999999999999,0.000362,0,0.103
300,0.995,0.5920000000000001,0.0322,0.0573,0,0.209
301,0.5539999999999999,0.865,0.377,0.0,0,0.361
302,0.447,0.708,0.544,0.0375,0,0.0316
303,0.995,0.421,0.231,2.62e-06,0,0.0528
304,0.941,0.241,0.2739999999999999,7.53e-06,0,0.0297
305,0.994,0.362,0.315,0.636,0,0.0646
306,0.992,0.546,0.275,0.0,0,0.309
307,0.994,0.263,0.0536,0.927,0,0.0386
308,0.941,0.314,0.209,0.473,0,0.033
309,0.95,0.607,0.138,0.0,0,0.157
310,0.579,0.6970000000000001,0.346,0.168,3,0.07
311,0.104,0.605,0.3289999999999999,0.0923,0,0.0354
312,0.8340000000000001,0.6609999999999999,0.489,0.0,0,0.103
313,0.3670000000000001,0.5770000000000001,0.48,0.0,0,0.211
314,0.993,0.3670000000000001,0.192,0.947,0,0.296
315,0.996,0.526,0.247,0.0,0,0.0483
316,0.964,0.271,0.285,0.948,0,0.0342
317,0.99,0.158,0.0135,0.789,0,0.038
318,0.986,0.509,0.16,0.0,0,0.0572
319,0.948,0.348,0.345,0.856,0,0.0654
320,0.99,0.158,0.0135,0.789,1,0.038
321,0.994,0.508,0.147,0.000828,0,0.0487
322,0.994,0.355,0.1989999999999999,0.000154,0,0.053
323,0.988,0.301,0.0953,0.0757,0,0.0314
324,0.987,0.292,0.0769,0.873,0,0.0393
325,0.952,0.32,0.249,0.000424,1,0.0342
326,0.992,0.241,0.109,0.853,0,0.0377
327,0.967,0.39,0.13,0.867,0,0.0355
328,0.988,0.624,0.13,0.0,0,0.17
329,0.994,0.38,0.304,0.6809999999999999,0,0.0451
330,0.973,0.2,0.0916,0.875,1,0.0376
331,0.996,0.518,0.203,0.0,3,0.0615
332,0.8959999999999999,0.16,0.0521,0.846,1,0.0398
333,0.951,0.255,0.192,0.0381,0,0.0379
334,0.0169,0.713,0.42,0.488,0,0.0322
335,0.589,0.625,0.5870000000000001,0.0,0,0.0353
336,0.1669999999999999,0.623,0.655,0.00418,0,0.0425
337,0.995,0.3979999999999999,0.162,0.799,0,0.241
338,0.987,0.292,0.0769,0.873,2,0.0393
339,0.693,0.29,0.283,0.46,0,0.0349
340,0.995,0.561,0.3670000000000001,0.0,0,0.354
341,0.995,0.3229999999999999,0.111,0.7809999999999999,0,0.0418
342,0.95,0.6679999999999999,0.2,0.0,1,0.157
343,0.995,0.456,0.0923,0.0526,0,0.0374
344,0.977,0.2769999999999999,0.143,0.885,0,0.0302
345,0.9,0.371,0.4539999999999999,0.0,0,0.0781
346,0.971,0.264,0.22,0.922,0,0.0328
347,0.995,0.374,0.122,0.8809999999999999,0,0.0981
348,0.916,0.261,0.1639999999999999,0.0574,0,0.0331
349,0.772,0.56,0.313,4.52e-06,0,0.0376
350,0.8490000000000001,0.0663,0.0257,0.956,0,0.0472
351,0.993,0.528,0.355,0.0362,0,0.0676
